Description,,Summary Amt.,
Beginning balance as of 12/31/2024,,"12,330.36",
Total credits,,"90,176.63",
Total debits,,"-86,680.54",
Ending balance as of 03/11/2026,,"15,826.45",
,,,
Date,Description,Amount,Running Bal.
12/31/2024,Beginning balance as of 12/31/2024,,"12,330.36"
1/14/2025,Texas Instruments Inc 01/11 PURCHASE Dallas TX DEBIT CARD *6768,-76.75,"12,253.61"
1/21/2025,"Precitec7303 DES:PAYMENTS ID: INDN:Blufin Labs, LLC CO ID:XXXXX73030 CCD PMT INFO:REF*Precitec Blufin\","12,000.00","24,253.61"
2/11/2025,Mike Kearny Bill Payment,"-2,000.00","22,253.61"
3/7/2025,PI SHOP INC. 03/06 PURCHASE 302-500-4020 DE DEBIT CARD *6768,-389.49,"21,864.12"
3/18/2025,"GITHUB, INC. 03/17 PURCHASE GITHUB.COM CA DEBIT CARD *6768",-48,"21,816.12"
3/18/2025,Autodesk ADY 03/17 PURCHASE XXX-XX19562 CA DEBIT CARD *6768,-300,"21,516.12"
3/24/2025,DKC*DIGI KEY CORP 03/21 PURCHASE 800-344-4539 MN DEBIT CARD *6768,-26.23,"21,489.89"
3/24/2025,USPS.COM CLICKNSHIP 03/22 PURCHASE 800-344-7779 DC DEBIT CARD *6768,-65.25,"21,424.64"
4/9/2025,THORLABS 04/07 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-54.64,"21,370.00"
4/9/2025,THORLABS 04/08 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-112.4,"21,257.60"
4/15/2025,Gerson Lehrman G DES:XXXXX64631 ID:XXXXX64631 INDN:Blufin Labs LLC CO ID:XXXXX01226 CCD,56.83,"21,314.43"
4/15/2025,THORLABS 04/12 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-196.27,"21,118.16"
4/15/2025,SPARK FUN ELECTRONICS I 04/14 PURCHASE SPARKFUN.COM CO DEBIT CARD *6768,-24.54,"21,093.62"
5/8/2025,THORLABS 05/06 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-266.5,"20,827.12"
5/28/2025,Online Banking transfer to CHK 3232 Confirmation# XXXXX44399,"-1,000.00","19,827.12"
6/4/2025,ODOO INC. DES:ODOO INC. ID:ST-O3C4L2O0G1K2 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-70,"19,757.12"
7/1/2025,"BOMMER* BOMMER, INC 06/30 PURCHASE GETBOMMER.COM CA DEBIT CARD *6768",-199,"19,558.12"
7/7/2025,ODOO INC. DES:ODOO INC. ID:ST-E6N9S7P0P1O8 INDN:PATRICK O HARA CO ID:XXXXX65600 WEB,-108.9,"19,449.22"
7/7/2025,OPENAI DES:OPENAI *CH ID:ST-W8A6E8I0O8I4 INDN:LINK CO ID:XXXXX65600 WEB,-20,"19,429.22"
8/4/2025,ODOO INC. DES:ODOO INC. ID:ST-I4V9E2J1T5N0 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-108.9,"19,320.32"
8/5/2025,OPENAI DES:OPENAI *CH ID:ST-T4U6A4O3Q9S1 INDN:LINK CO ID:XXXXX48598 WEB,-20,"19,300.32"
8/11/2025,"GITHUB, INC. 08/08 PURCHASE GITHUB.COM CA DEBIT CARD *6768",-100,"19,200.32"
8/15/2025,DNH*GODADDY#XXXXX63271 08/14 PURCHASE XXX-XX58855 AZ DEBIT CARD *6768,-84.36,"19,115.96"
8/19/2025,BKOFAMERICA ATM 08/18 #XXXXX5340 WITHDRWL SANTA CRUZ MAIN SANTA CRUZ CA CKCD XXXXXXXXXX116768,-100,"19,015.96"
8/21/2025,CAKE.COM 08/20 PURCHASE CAKE.COM CA DEBIT CARD *6768,-65.88,"18,950.08"
8/27/2025,SQSP* WEBSIT#XXXXX5677 08/26 PURCHASE SQUARESPACE.C NY DEBIT CARD *6768,-192,"18,758.08"
8/28/2025,SPIE ORG 08/26 PURCHASE XXXXX63290 WA DEBIT CARD *6768,-45,"18,713.08"
9/2/2025,Online Banking transfer to CHK 3232 Confirmation# XXXXX78474,"-1,000.00","17,713.08"
9/4/2025,ODOO INC. DES:ODOO INC. ID:ST-P4A4Z0R3F6K3 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-108.9,"17,604.18"
