Blufin Labs Financial Summary,,,,,,,,,,,,,,,
As of 2026-03-10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Amount,,,,,,,,,,,,,,
Beginning balance as of 12/31/2024,"12,330.36",,,,,,,,,,,,,,
Total credits,"90,176.63",,,,,,,,,,,,,,
Total debits,"-86,680.54",,,,,,,,,,,,,,
Ending balance as of 03/11/2026,"15,826.45",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Customer,Income,,,,,,,,,,Month,Income,Expense,Rolling Income,Rolling Expense
Unspecified,0.00,,,,,,,,,,2024-12,0.00,0.00,0.00,0.00
,,,,,,,,,,,2025-01,"12,000.00",76.75,"12,000.00",76.75
,,,,,,,,,,,2025-02,0.00,"2,000.00","12,000.00","2,076.75"
,,,,,,,,,,,2025-03,0.00,828.97,"12,000.00","2,905.72"
,,,,,,,,,,,2025-04,56.83,387.85,"12,056.83","3,293.57"
,,,,,,,,,,,2025-05,0.00,266.50,"12,056.83","3,560.07"
,,,,,,,,,,,2025-06,0.00,70.00,"12,056.83","3,630.07"
,,,,,,,,,,,2025-07,0.00,327.90,"12,056.83","3,957.97"
,,,,,,,,,,,2025-08,0.00,531.78,"12,056.83","4,489.75"
,,,,,,,,,,,2025-09,"77,369.70","9,011.16","89,426.53","13,500.91"
,,,,,,,,,,,2025-10,0.00,"17,192.10","89,426.53","30,693.01"
,,,,,,,,,,,2025-11,100.00,"7,821.03","89,526.53","38,514.04"
,,,,,,,,,,,2025-12,0.00,"25,650.26","89,526.53","64,164.30"
,,,,,,,,,,,2026-01,0.00,"5,921.20","89,526.53","70,085.50"
,,,,,,,,,,,2026-02,0.00,"12,770.40","89,526.53","82,855.90"
,,,,,,,,,,,2026-03,0.00,990.18,"89,526.53","83,846.08"
,,,,,,,,,,,,,,,
Quarter Comparison: Current (2026-01-01 to 2026-03-10) vs Previous (2025-10-01 to 2025-12-31),,,,,,,,,,,,,,,
Section,Line Item,Current Quarter,Previous Quarter,Pct Change,,,,,,,,,,,
Expense,Electronic Components,45.84,"1,254.24",-96.3%,,,,,,,,,,,
Expense,Labor (Consulting),"15,000.00","25,100.00",-40.2%,,,,,,,,,,,
Expense,Machining/Fabrication,"2,805.14","15,115.44",-81.4%,,,,,,,,,,,
Expense,Materials and Supplies,26.34,0.00,,,,,,,,,,,,
Expense,Mechanical Components,500.87,868.39,-42.3%,,,,,,,,,,,
Income,Misc Income,0.00,100.00,-100.0%,,,,,,,,,,,
Expense,Office Expenses,517.97,0.00,,,,,,,,,,,,
Expense,Optical Components,586.62,"5,163.77",-88.6%,,,,,,,,,,,
Expense,Software,160.00,"3,161.55",-94.9%,,,,,,,,,,,
Expense,Subscriptions and Memberships,39.00,0.00,,,,,,,,,,,,
Income,Total Income,0.00,100.00,-100.0%,,,,,,,,,,,
Expenses,Total Expenses,"19,681.78","50,663.39",-61.2%,,,,,,,,,,,
Summary,Net Income,"-19,681.78","-50,563.39",-61.1%,,,,,,,,,,,
