date,description,amount,category,counterparty,account,memo
2024-12-31,Beginning balance as of 12/31/2024,12330.36,Retained Earnings,,Checking,
2025-01-14,Texas Instruments Inc 01/11 PURCHASE Dallas TX DEBIT CARD *6768,-76.75,Electronic Components,,Checking,
2025-01-21,"Precitec7303 DES:PAYMENTS ID: INDN:Blufin Labs, LLC CO ID:XXXXX73030 CCD PMT INFO:REF*Precitec Blufin\",12000.0,Consulting Revenue,,Checking,
2025-02-11,Mike Kearny Bill Payment,-2000.0,Labor (Consulting),,Checking,
2025-03-07,PI SHOP INC. 03/06 PURCHASE 302-500-4020 DE DEBIT CARD *6768,-389.49,Electronic Components,,Checking,
2025-03-18,"GITHUB, INC. 03/17 PURCHASE GITHUB.COM CA DEBIT CARD *6768",-48.0,Uncategorized Expense,,Checking,
2025-03-18,Autodesk ADY 03/17 PURCHASE XXX-XX19562 CA DEBIT CARD *6768,-300.0,Software,,Checking,
2025-03-24,DKC*DIGI KEY CORP 03/21 PURCHASE 800-344-4539 MN DEBIT CARD *6768,-26.23,Uncategorized Expense,,Checking,
2025-03-24,USPS.COM CLICKNSHIP 03/22 PURCHASE 800-344-7779 DC DEBIT CARD *6768,-65.25,Uncategorized Expense,,Checking,
2025-04-09,THORLABS 04/07 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-54.64,Optical Components,,Checking,
2025-04-09,THORLABS 04/08 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-112.4,Optical Components,,Checking,
2025-04-15,Gerson Lehrman G DES:XXXXX64631 ID:XXXXX64631 INDN:Blufin Labs LLC CO ID:XXXXX01226 CCD,56.83,Consulting Revenue,,Checking,
2025-04-15,THORLABS 04/12 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-196.27,Optical Components,,Checking,
2025-04-15,SPARK FUN ELECTRONICS I 04/14 PURCHASE SPARKFUN.COM CO DEBIT CARD *6768,-24.54,Electronic Components,,Checking,
2025-05-08,THORLABS 05/06 PURCHASE 973-579-7227 NJ DEBIT CARD *6768,-266.5,Optical Components,,Checking,
2025-05-28,Online Banking transfer to CHK 3232 Confirmation# XXXXX44399,-1000.0,Uncategorized Expense,,Checking,
2025-06-04,ODOO INC. DES:ODOO INC. ID:ST-O3C4L2O0G1K2 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-70.0,Uncategorized Expense,,Checking,
2025-07-01,"BOMMER* BOMMER, INC 06/30 PURCHASE GETBOMMER.COM CA DEBIT CARD *6768",-199.0,Uncategorized Expense,,Checking,
2025-07-07,ODOO INC. DES:ODOO INC. ID:ST-E6N9S7P0P1O8 INDN:PATRICK O HARA CO ID:XXXXX65600 WEB,-108.9,Uncategorized Expense,,Checking,
2025-07-07,OPENAI DES:OPENAI *CH ID:ST-W8A6E8I0O8I4 INDN:LINK CO ID:XXXXX65600 WEB,-20.0,Software,,Checking,
2025-08-04,ODOO INC. DES:ODOO INC. ID:ST-I4V9E2J1T5N0 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-108.9,Uncategorized Expense,,Checking,
2025-08-05,OPENAI DES:OPENAI *CH ID:ST-T4U6A4O3Q9S1 INDN:LINK CO ID:XXXXX48598 WEB,-20.0,Software,,Checking,
2025-08-11,"GITHUB, INC. 08/08 PURCHASE GITHUB.COM CA DEBIT CARD *6768",-100.0,Uncategorized Expense,,Checking,
2025-08-15,DNH*GODADDY#XXXXX63271 08/14 PURCHASE XXX-XX58855 AZ DEBIT CARD *6768,-84.36,Uncategorized Expense,,Checking,
2025-08-19,BKOFAMERICA ATM 08/18 #XXXXX5340 WITHDRWL SANTA CRUZ MAIN SANTA CRUZ CA CKCD XXXXXXXXXX116768,-100.0,Uncategorized Expense,,Checking,
2025-08-21,CAKE.COM 08/20 PURCHASE CAKE.COM CA DEBIT CARD *6768,-65.88,Uncategorized Expense,,Checking,
2025-08-27,SQSP* WEBSIT#XXXXX5677 08/26 PURCHASE SQUARESPACE.C NY DEBIT CARD *6768,-192.0,Uncategorized Expense,,Checking,
2025-08-28,SPIE ORG 08/26 PURCHASE XXXXX63290 WA DEBIT CARD *6768,-45.0,Misc Expense,,Checking,
2025-09-02,Online Banking transfer to CHK 3232 Confirmation# XXXXX78474,-1000.0,Uncategorized Expense,,Checking,
2025-09-04,ODOO INC. DES:ODOO INC. ID:ST-P4A4Z0R3F6K3 INDN:PATRICK O HARA CO ID:XXXXX48598 WEB,-108.9,Uncategorized Expense,,Checking,
2025-09-04,OPENAI DES:OPENAI *CH ID:ST-L1S4M8Q0S2L4 INDN:LINK CO ID:XXXXX65600 WEB,-20.0,Software,,Checking,
2025-09-12,BKOFAMERICA MOBILE 09/12 XXXXX94528 DEPOSIT *MOBILE CA,2394.7,Uncategorized Income,,Checking,
2025-09-17,"WIRE TYPE:INTL IN DATE:250917 TIME:0513 ET TRN:XXXXXXXXXX052596 SEQ:HK117095BI674750/ ORIG:UNICORN TECHNOLOGY CO., L ID:XXXXX1671838 ORIG BK:HONGKONG AND SHANGHAI BANKING ID:HSBCHKHHH KH PMT DET: $25.00 FEE DEDUCTFOR INVOICE INV/2025/",74975.0,Consulting Revenue,,Checking,
2025-09-18,INTUIT *QBooks Online 09/17 PURCHASE CL.INTUIT.COM CA DEBIT CARD *6768,-10.0,Software,,Checking,
2025-09-18,Online Banking transfer to CHK 3232 Confirmation# XXXXX55346,-5000.0,Uncategorized Expense,,Checking,
2025-09-18,Wire Transfer Fee,-15.0,Uncategorized Expense,,Checking,
2025-09-26,CAKE.COM 09/25 PURCHASE CAKE.COM CA DEBIT CARD *6768,-59.43,Uncategorized Expense,,Checking,
2025-09-29,SUPPLIER-DIRECT 09/26 PURCHASE 682-518-7053 MA DEBIT CARD *6768,-298.83,Uncategorized Expense,,Checking,
2025-09-30,GIGASOFT INC 09/29 PURCHASE 817-431-8470 TX DEBIT CARD *6768,-3499.0,Software,,Checking,
2025-10-01,DNH*GODADDY#XXXXX20284 09/30 PURCHASE XXX-XX58855 AZ DEBIT CARD *6768,-95.88,Uncategorized Expense,,Checking,
2025-10-06,SANTA CRUZ ELECTRONICS 10/03 PURCHASE SANTA CRUZ CA DEBIT CARD *6768,-17.47,Electronic Components,,Checking,
2025-10-06,OPENAI DES:OPENAI *CH ID:ST-I6N7K6E9N9J0 INDN:LINK CO ID:XXXXX48598 WEB,-20.0,Software,,Checking,
